活动场地,星期二 (14.45-15.55),星期二 (15.55-17.00-延长练习),星期六 (08.00-10.30),星期六 (10.30-13.30)
食堂,D23 烹饪学会,,D23 烹饪学会,D23 烹饪学会
图书馆阁楼,E01 图书馆服务团,,E01 图书馆服务团,E01 图书馆服务团
大礼堂,B05 羽球培训队,,B05 羽球培训队,B05 羽球培训队
大礼堂舞台,E03 舞台技术研究社,,E03 舞台技术研究社,E03 舞台技术研究社
大礼堂外侧,C07 二十四节令鼓队,,C07 二十四节令鼓队,C07 二十四节令鼓队
大讲堂,,,,
音韵室,C03 合唱团,,C03 合唱团,C03 合唱团
舞蹈室,C04 舞蹈团,,C04 舞蹈团,C04 舞蹈团
伯才堂,,,,
篮球场,B01 篮球培训队,,B01 篮球培训队,B01 篮球培训队
排球场,B02 排球培训队,,B02 排球培训队,B02 排球培训队
停车场A,,,,
停车场A,,,,
停车场B,B04 田径培训队,,B04 田径培训队,B04 田径培训队
停车场B 旁,B04 田径培训队,,B04 田径培训队,B04 田径培训队
乒乓区,B03 乒乓培训队,,B03 乒乓培训队,B03 乒乓培训队
乒乓区前,A03 圣约翰救伤队,,A03 圣约翰救伤队,A03 圣约翰救伤队
大讲堂外侧,,,,
齐心苑活动区,C08 扯铃队,,C08 扯铃队,C08 扯铃队
荟萃苑,A04 学生警察团,,A04 学生警察团,A04 学生警察团
钟楼,A04 学生警察团,,A04 学生警察团,A04 学生警察团
A102 图书馆研讨室 （1）,,,,
A102 图书馆研讨室 （2）,,,,
管乐室,C01 管乐团,,C01 管乐团,C01 管乐团
华乐室,C02 华乐团,,C02 华乐团,C02 华乐团
国光楼顶层活动区,C06 中华武术团,,C06 中华武术团,C06 中华武术团
国光楼顶层活动区,,,,